census_tract,block_group,total_pop,pct_white,pct_black,stat_nb
2709.02,3,1544,0.034,0.946,Perring Loch
2709.03,1,2460,0.024,0.952,Hillen
2709.03,2,1248,0.229,0.705,Original Northwood
2709.03,3,895,0.047,0.888,Hillen
2710.01,1,819,0.02,0.955,Wilson Park
2710.01,2,558,0.032,0.943,Wilson Park
2710.01,3,921,0.036,0.933,Pen Lucy
2710.02,1,1206,0.021,0.968,Kenilworth Park
2710.02,2,676,0.009,0.96,Richnor Springs
2710.02,3,566,0.042,0.912,Winston-Govans
2710.02,4,775,0.065,0.906,Winston-Govans
2710.02,5,909,0.022,0.95,Woodbourne-McCabe
2711.01,1,1045,0.6,0.293,Villages Of Homeland
2711.01,2,15,0.867,0,Loyola/Notre Dame
2711.01,3,986,0.539,0.404,Radnor-Winston
2711.02,1,3636,0.871,0.052,Loyola/Notre Dame
2711.02,2,889,0.723,0.224,Guilford
2712,1,660,0.895,0.055,Cedarcroft
2712,2,1231,0.693,0.232,Lake Evesham/Rosebank
2712,3,974,0.871,0.073,Homeland
2712,4,932,0.911,0.025,Homeland
2712,5,1008,0.846,0.116,Homeland
2712,6,1298,0.837,0.085,Bellona-Gittings-Orchards
2713,1,1426,0.679,0.119,North Roland Park/Poplar Hill
2713,2,558,0.875,0.041,Wyndhurst
2713,3,807,0.938,0.01,Roland Park
2714,1,836,0.756,0.193,Roland Park
2714,2,1237,0.923,0.023,Roland Park
2714,3,1657,0.682,0.068,Roland Park
2715.01,1,708,0.857,0.085,Mount Washington
2715.01,2,525,0.79,0.126,Mount Washington
2715.01,3,693,0.882,0.059,Mount Washington
2715.01,4,1050,0.83,0.106,Mount Washington
2715.01,5,1207,0.76,0.125,Cheswolde
2715.03,1,856,0.847,0.099,Cross Keys
2716,1,773,0.005,0.972,Cylburn
2716,2,884,0.018,0.951,Parklane
2716,3,740,0.041,0.949,Parklane
2716,4,870,0.024,0.952,Central Park Heights
2716,5,466,0.017,0.951,Cylburn
2716,6,790,0.03,0.947,Central Park Heights
2717,1,452,0.343,0.635,Levindale
2717,2,940,0.016,0.963,Pimlico Good Neighbors
2717,3,971,0.023,0.949,Cylburn
2717,4,1402,0.037,0.949,Levindale
